"modularity","algorithm","network"
0.727628022499817,"infomap","edit-xhwiktionary.graphml"
0.745489078822412,"fast_greedy","edit-xhwiktionary.graphml"
0.677209011033543,"louvain","edit-yowiktionary.graphml"
0.677209011033542,"leiden","edit-yowiktionary.graphml"
0.665447880786163,"walktrap","edit-yowiktionary.graphml"
0.663679566763064,"infomap","edit-yowiktionary.graphml"
0.672033008528432,"fast_greedy","edit-yowiktionary.graphml"
0.77569313398171,"louvain","edit-zawikibooks.graphml"
0.776564087676005,"leiden","edit-zawikibooks.graphml"
0.723635505878937,"walktrap","edit-zawikibooks.graphml"
0.746443605748294,"infomap","edit-zawikibooks.graphml"
0.774822180287415,"fast_greedy","edit-zawikibooks.graphml"
0.869612415051194,"louvain","gene_fusion.graphml"
0.869612415051195,"leiden","gene_fusion.graphml"
0.86297709433332,"walktrap","gene_fusion.graphml"
0.831078737426293,"infomap","gene_fusion.graphml"
0.869612415051195,"fast_greedy","gene_fusion.graphml"
0.680547293277811,"louvain","hiv.graphml"
0.680547293277811,"leiden","hiv.graphml"
0.628792385484831,"walktrap","hiv.graphml"
0.672218917311124,"infomap","hiv.graphml"
0.680547293277811,"fast_greedy","hiv.graphml"
0.572099107417667,"louvain","iceland.graphml"
0.577870113881194,"leiden","iceland.graphml"
0.561095721760542,"walktrap","iceland.graphml"
0.577870113881194,"infomap","iceland.graphml"
0.573945829485996,"fast_greedy","iceland.graphml"
0,"louvain","league-be1-2016.graphml"
0,"leiden","league-be1-2016.graphml"
0,"walktrap","league-be1-2016.graphml"
0,"infomap","league-be1-2016.graphml"
-2.42861286636753e-17,"fast_greedy","league-be1-2016.graphml"
0,"louvain","league-de1-2016.graphml"
0,"leiden","league-de1-2016.graphml"
0,"walktrap","league-de1-2016.graphml"
0,"infomap","league-de1-2016.graphml"
7.54604712049911e-17,"fast_greedy","league-de1-2016.graphml"
0,"louvain","league-fr1-2016.graphml"
0,"leiden","league-fr1-2016.graphml"
0,"walktrap","league-fr1-2016.graphml"
0,"infomap","league-fr1-2016.graphml"
-5.89805981832114e-17,"fast_greedy","league-fr1-2016.graphml"
0,"louvain","league-uk1-2013.graphml"
0,"leiden","league-uk1-2013.graphml"
0,"walktrap","league-uk1-2013.graphml"
0,"infomap","league-uk1-2013.graphml"
-5.89805981832114e-17,"fast_greedy","league-uk1-2013.graphml"
0.798206127385111,"louvain","maayan-pdzbase.graphml"
0.804983539371136,"leiden","maayan-pdzbase.graphml"
0.767863141628595,"walktrap","maayan-pdzbase.graphml"
0.786557712980381,"infomap","maayan-pdzbase.graphml"
0.804345270088686,"fast_greedy","maayan-pdzbase.graphml"
0.247019380668934,"louvain","moreno_beach.graphml"
0.255248193027211,"leiden","moreno_beach.graphml"
0.258144664115646,"walktrap","moreno_beach.graphml"
0,"infomap","moreno_beach.graphml"
0.258144664115646,"fast_greedy","moreno_beach.graphml"
0.0790926061196331,"louvain","moreno_bison.graphml"
0.0829579579579579,"leiden","moreno_bison.graphml"
0.0456131807483159,"walktrap","moreno_bison.graphml"
0,"infomap","moreno_bison.graphml"
0.0765359954549144,"fast_greedy","moreno_bison.graphml"
0,"louvain","moreno_hens.graphml"
0,"leiden","moreno_hens.graphml"
0,"walktrap","moreno_hens.graphml"
0,"infomap","moreno_hens.graphml"
-4.68375338513738e-17,"fast_greedy","moreno_hens.graphml"
0.52957003569716,"louvain","moreno_highschool.graphml"
0.52957003569716,"leiden","moreno_highschool.graphml"
0.524821514198945,"walktrap","moreno_highschool.graphml"
0.525614044434973,"infomap","moreno_highschool.graphml"
0.502723906441473,"fast_greedy","moreno_highschool.graphml"
0.670142699685068,"louvain","moreno_innovation.graphml"
0.691411490863675,"leiden","moreno_innovation.graphml"
0.668631423510645,"walktrap","moreno_innovation.graphml"
0.676277013694803,"infomap","moreno_innovation.graphml"
0.662883878820888,"fast_greedy","moreno_innovation.graphml"
0.0598357686269774,"louvain","moreno_kangaroo.graphml"
0.0598357686269774,"leiden","moreno_kangaroo.graphml"
0,"walktrap","moreno_kangaroo.graphml"
0,"infomap","moreno_kangaroo.graphml"
0.0598357686269775,"fast_greedy","moreno_kangaroo.graphml"
0.558272366544733,"louvain","moreno_lesmis.graphml"
0.56000837001674,"leiden","moreno_lesmis.graphml"
0.521405542811086,"walktrap","moreno_lesmis.graphml"
0.551320602641205,"infomap","moreno_lesmis.graphml"
0.500596751193503,"fast_greedy","moreno_lesmis.graphml"
0.0964116752540038,"louvain","moreno_mac.graphml"
0.0964116752540038,"leiden","moreno_mac.graphml"
0.0845417651511981,"walktrap","moreno_mac.graphml"
0,"infomap","moreno_mac.graphml"
0.0705956946564661,"fast_greedy","moreno_mac.graphml"
0.108192,"louvain","moreno_seventh.graphml"
0.102048,"leiden","moreno_seventh.graphml"
0.049352,"walktrap","moreno_seventh.graphml"
0,"infomap","moreno_seventh.graphml"
0.102696,"fast_greedy","moreno_seventh.graphml"
0.0850248981439566,"louvain","moreno_sheep.graphml"
0.0850248981439566,"leiden","moreno_sheep.graphml"
0.0520597555454957,"walktrap","moreno_sheep.graphml"
0,"infomap","moreno_sheep.graphml"
0.0741602535083748,"fast_greedy","moreno_sheep.graphml"
0.447403024326101,"louvain","moreno_taro.graphml"
0.4543063773833,"leiden","moreno_taro.graphml"
0.424063116370809,"walktrap","moreno_taro.graphml"
0.453320184089415,"infomap","moreno_taro.graphml"
0.431623931623932,"fast_greedy","moreno_taro.graphml"
0.276803830857885,"louvain","moreno_zebra.graphml"
0.276803830857885,"leiden","moreno_zebra.graphml"
0.270229689148608,"walktrap","moreno_zebra.graphml"
0.260652544436328,"infomap","moreno_zebra.graphml"
0.276803830857885,"fast_greedy","moreno_zebra.graphml"
0.300213675213675,"louvain","opsahl-southernwomen.graphml"
0.300213675213675,"leiden","opsahl-southernwomen.graphml"
0.264628533859303,"walktrap","opsahl-southernwomen.graphml"
0,"infomap","opsahl-southernwomen.graphml"
0.301775147928994,"fast_greedy","opsahl-southernwomen.graphml"
0.879270716658142,"louvain","subelj_euroroad.graphml"
0.885426684443214,"leiden","subelj_euroroad.graphml"
0.838210677980705,"walktrap","subelj_euroroad.graphml"
0.789376305164279,"infomap","subelj_euroroad.graphml"
0.872268337542566,"fast_greedy","subelj_euroroad.graphml"
0.168995243757432,"louvain","ucidata-gama.graphml"
0.168995243757432,"leiden","ucidata-gama.graphml"
0.105231866825208,"walktrap","ucidata-gama.graphml"
0,"infomap","ucidata-gama.graphml"
0.160374554102259,"fast_greedy","ucidata-gama.graphml"
0.226204986149584,"surprise","brunson_club-membership.graphml"
0.306346291194776,"surprise","brunson_corporate-leadership.graphml"
0.52611328125,"surprise","brunson_revolution.graphml"
0.29585798816568,"surprise","brunson_south-africa.graphml"
0.272959183673469,"surprise","brunson_southern-women.graphml"
0.449689929251463,"surprise","contiguous-usa.graphml"
0.799511316469577,"surprise","dbpedia-similar.graphml"
0.175346020761246,"surprise","dimacs10-chesapeake.graphml"
0.430157701780637,"surprise","dimacs10-polbooks.graphml"
0.35773901348839,"surprise","dolphins.graphml"
0.6033,"surprise","edit-aawikibooks.graphml"
0.563822677656494,"surprise","edit-aawiktionary.graphml"
0.498993055555556,"surprise","edit-akwikibooks.graphml"
0.586272955476284,"surprise","edit-akwiktionary.graphml"
0.630316635160681,"surprise","edit-alswikiquote.graphml"
0.586038781163435,"surprise","edit-aswikibooks.graphml"
0.444051263794943,"surprise","edit-aswiktionary.graphml"
0.543401838831801,"surprise","edit-avwiktionary.graphml"
0.375280696290709,"surprise","edit-bhwiktionary.graphml"
0.508910670527957,"surprise","edit-biwikibooks.graphml"
0.494834971025447,"surprise","edit-bmwikibooks.graphml"
0.540003496299749,"surprise","edit-bmwiktionary.graphml"
0.55371128515486,"surprise","edit-bowikibooks.graphml"
0.374037680915988,"surprise","edit-bowiktionary.graphml"
0.549426622151255,"surprise","edit-chwikibooks.graphml"
0.544273479460009,"surprise","edit-chwiktionary.graphml"
0.4543,"surprise","edit-crwiktionary.graphml"
0.434675119350239,"surprise","edit-dzwiktionary.graphml"
0.591049382716049,"surprise","edit-gnwikibooks.graphml"
0.54819944598338,"surprise","edit-gotwikibooks.graphml"
0.522304526748971,"surprise","edit-guwikibooks.graphml"
0.372596153846153,"surprise","edit-htwikisource.graphml"
0.573256707541181,"surprise","edit-kjwiki.graphml"
0.506541955017302,"surprise","edit-kkwikiquote.graphml"
0.548517169614985,"surprise","edit-knwikibooks.graphml"
0.38,"surprise","edit-krwikiquote.graphml"
0.559152271737553,"surprise","edit-kswikibooks.graphml"
0.532518140284869,"surprise","edit-kswikiquote.graphml"
0.440581628926223,"surprise","edit-lbwikibooks.graphml"
0.562868125736251,"surprise","edit-lnwikibooks.graphml"
0.524058810425484,"surprise","edit-mhwiktionary.graphml"
0.500444998220007,"surprise","edit-miwikibooks.graphml"
0.591652783117604,"surprise","edit-muswiki.graphml"
0.571119524067064,"surprise","edit-mywikibooks.graphml"
0.641353553644183,"surprise","edit-nahwikibooks.graphml"
0.460969650205761,"surprise","edit-ndswikibooks.graphml"
0.628014842300558,"surprise","edit-pswikibooks.graphml"
